OBJECTID,REF_ID_COD,UNIQUE_ID,DATA_SOURC,LOC_METHOD,ORIG_ID,SLIDE_NAME,LENGTH_ft,WIDTH_ft,DEPTH_ft,SLOPE,TYPE_MOVE,MOVE_CLASS,CONTR_FACT,TYPE_MTRL,AREA_ft2,VOLUME_ft3,DEEP_SHAL,DAMAGES,LOSSES,COMMENTS,ANNUAL_COST,REPAIR_COST,YEAR,DATE_RANGE,REACTIVATION,MONTH,DAY,x,y
2591,HofmRJ2000,LS_2811,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",137,87,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13635764.6989528,5577504.99315945
2592,HofmRJ2000,LS_2812,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",138,165,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13635910.7278648,5631373.29299201
2593,HofmRJ2000,LS_2813,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",139,166,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13635919.1605084,5631184.88103117
2594,HofmRJ2000,LS_2814,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",140,155,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13636786.2547453,5548918.83295787
2595,HofmRJ2000,LS_2815,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",141,67,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13636518.2911379,5593815.38045368
2596,HofmRJ2000,LS_2816,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",142,86,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13637009.0122663,5571115.08377643
2597,HofmRJ2000,LS_2817,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",143,68,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13636887.0241643,5592274.39813932
2598,HofmRJ2000,LS_2818,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",144,96,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13638751.8194805,5561275.47367519
2599,HofmRJ2000,LS_2819,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",145,95,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13638907.8128824,5561556.56558619
2600,HofmRJ2000,LS_2820,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",146,97,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13638968.0502943,5561039.62855056
2601,HofmRJ2000,LS_2821,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",147,149,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639236.8231888,5544442.15583639
2602,HofmRJ2000,LS_2822,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",148,151,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639277.3008788,5541164.81796537
2603,HofmRJ2000,LS_2823,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",149,148,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639851.1966092,5543276.56446556
2604,HofmRJ2000,LS_2824,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",150,83,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639961.8125999,5571276.62590518
2605,HofmRJ2000,LS_2825,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",151,84,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639994.9784166,5571737.33322627
2606,HofmRJ2000,LS_2826,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",152,62,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639819.5534445,5604580.0493103
2607,HofmRJ2000,LS_2827,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",153,85,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13640106.8864058,5572219.93165619
2608,HofmRJ2000,LS_2828,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",154,61,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13639967.4168273,5605129.68161232
2609,HofmRJ2000,LS_2829,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",155,147,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13640809.7777151,5544379.51288243
2612,HofmRJ2000,LS_2832,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",158,98,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13647501.0661568,5566074.36209103
2613,HofmRJ2000,LS_2833,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",159,143,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13652866.8064827,5549864.4611666
2614,HofmRJ2000,LS_2835,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",161,145,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13653590.9273322,5544414.57113647
2615,HofmRJ2000,LS_2836,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",162,93,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13655261.8926362,5555388.32105424
2616,HofmRJ2000,LS_2837,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",163,92,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13655455.828156,5556976.30757107
2617,HofmRJ2000,LS_2838,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",164,90,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13655555.8966727,5560561.6474914
2618,HofmRJ2000,LS_2839,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",165,89,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13655906.5422059,5560606.32170895
2619,HofmRJ2000,LS_2840,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",166,142,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13656061.0445404,5552383.00757592
2620,HofmRJ2000,LS_2841,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",167,144,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13656628.7835255,5548093.21743468
2621,HofmRJ2000,LS_2842,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",168,141,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13657370.1084459,5552431.32151117
2622,HofmRJ2000,LS_2843,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",169,91,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13657476.7988789,5560087.86472093
2623,HofmRJ2000,LS_2844,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",170,94,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13657825.9063428,5553000.24652836
2624,HofmRJ2000,LS_2845,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",171,140,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13659501.2083218,5552719.27747057
2625,HofmRJ2000,LS_2846,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",172,82,0,0,0,0,,,,,0,0,,,,Aerial Photo Evaluation,0,0,1996,,,02,,-13663544.5139424,5568275.33690958
2626,HofmRJ2000,LS_2847,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",173,81,0,0,0,0,,,,,0,0,,,,Aerial Photo Evaluation,0,0,1996,,,02,,-13664803.1417401,5569235.94817897
2627,HofmRJ2000,LS_2848,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",174,339,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13727890.0225734,5688200.84777488
2628,HofmRJ2000,LS_2849,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",175,340,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13728806.5252975,5688590.75220696
2629,HofmRJ2000,LS_2850,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",176,342,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13729962.9784314,5683755.58881415
2630,HofmRJ2000,LS_2851,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",177,341,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13731367.3679618,5687836.59782535
2631,HofmRJ2000,LS_2852,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",178,351,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13731500.1157745,5674961.80304613
2633,HofmRJ2000,LS_2854,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",180,352,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732247.2181757,5666834.12161219
2634,HofmRJ2000,LS_2855,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",181,345,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732462.8755865,5684341.90695766
2635,HofmRJ2000,LS_2856,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",182,347,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732632.7620739,5683350.51979188
2636,HofmRJ2000,LS_2857,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",183,336,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732747.3186476,5663568.38143321
2637,HofmRJ2000,LS_2858,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",184,325,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732872.8275757,5675385.08447403
2638,HofmRJ2000,LS_2859,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",185,335,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13732969.6615719,5663094.91296621
2639,HofmRJ2000,LS_2860,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",186,337,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13733047.6396388,5662716.61373293
2640,HofmRJ2000,LS_2861,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",187,348,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13733164.4067771,5683741.47190647
2641,HofmRJ2000,LS_2862,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",188,346,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13733367.6796626,5685306.62234551
2642,HofmRJ2000,LS_2863,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",189,338,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13733330.9976629,5662889.87514841
2643,HofmRJ2000,LS_2864,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",190,329,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13734241.4716226,5670249.91919001
2644,HofmRJ2000,LS_2865,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",191,350,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13735077.3443616,5679923.93686645
2645,HofmRJ2000,LS_2866,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",192,344,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13735292.6132945,5685501.55529295
2646,HofmRJ2000,LS_2867,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",193,349,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13739493.406204,5682100.66757299
2647,HofmRJ2000,LS_2868,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",194,357,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13740047.1054568,5618224.35356453
2648,HofmRJ2000,LS_2869,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",195,37,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13741297.5491141,5524802.55893327
2649,HofmRJ2000,LS_2870,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",196,326,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13742517.4999863,5675146.74881278
2650,HofmRJ2000,LS_2871,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",197,332,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13742972.0251035,5666997.98415075
2651,HofmRJ2000,LS_2872,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",198,358,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13742807.603461,5615671.46700003
2652,HofmRJ2000,LS_2873,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",199,330,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13743531.3919024,5671081.50384547
2653,HofmRJ2000,LS_2874,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",200,327,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13743980.9340325,5672373.71845937
2654,HofmRJ2000,LS_2875,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",201,43,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13743228.7504569,5511558.21518787
2655,HofmRJ2000,LS_2876,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",202,353,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13744710.2198571,5660650.40764756
2656,HofmRJ2000,LS_2877,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",203,354,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745114.3969537,5659180.63008327
2657,HofmRJ2000,LS_2878,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",204,328,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745205.8331729,5673537.78455534
2658,HofmRJ2000,LS_2879,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",205,359,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13744918.5834921,5615659.33661978
2659,HofmRJ2000,LS_2880,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",206,355,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745286.3006508,5658874.42618098
2660,HofmRJ2000,LS_2881,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",207,360,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745099.272479,5615752.28339636
2661,HofmRJ2000,LS_2882,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",208,356,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745653.6566843,5656098.05269148
2662,HofmRJ2000,LS_2883,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",209,361,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745538.5625337,5615720.88441809
2663,HofmRJ2000,LS_2884,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",210,333,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745951.3697561,5664777.95965614
2664,HofmRJ2000,LS_2885,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",211,334,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13745979.5742451,5664654.16876081
2665,HofmRJ2000,LS_2886,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",212,331,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746169.5411447,5667335.45541562
2666,HofmRJ2000,LS_2887,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",213,269,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746447.3128378,5670147.83774756
2667,HofmRJ2000,LS_2888,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",214,319,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746395.836108,5655570.79097743
2668,HofmRJ2000,LS_2889,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",215,320,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746534.5691324,5654568.11552548
2669,HofmRJ2000,LS_2890,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",216,278,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746762.2360929,5664714.96298488
2670,HofmRJ2000,LS_2891,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",217,266,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13746860.2812176,5673724.42133316
2671,HofmRJ2000,LS_2892,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",218,321,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13747601.6951027,5653937.1476786
2672,HofmRJ2000,LS_2893,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",219,322,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13747782.6898137,5653943.28749428
2673,HofmRJ2000,LS_2894,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",220,267,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13747947.2966159,5672444.57782151
2674,HofmRJ2000,LS_2895,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",221,299,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13748070.2790306,5661858.08308713
2675,HofmRJ2000,LS_2896,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",222,16,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13747276.1901228,5529616.09872567
2676,HofmRJ2000,LS_2897,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",223,268,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13748390.4754576,5672572.56166754
2677,HofmRJ2000,LS_2898,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",224,323,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13748426.0024798,5651514.92097865
2678,HofmRJ2000,LS_2899,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",225,279,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13748974.824549,5666343.94838574
2679,HofmRJ2000,LS_2900,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",226,307,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13749312.223625,5658995.1322123
2680,HofmRJ2000,LS_2901,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",227,324,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13749571.3188213,5650767.32429048
2681,HofmRJ2000,LS_2902,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",228,265,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13749980.0403087,5672846.21864789
2682,HofmRJ2000,LS_2903,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",229,280,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13751197.5662409,5665006.59410248
2683,HofmRJ2000,LS_2904,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",230,366,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13751009.8608887,5611689.6673067
2684,HofmRJ2000,LS_2905,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",231,301,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13751665.9891527,5660236.46351797
2685,HofmRJ2000,LS_2906,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",232,308,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13751692.6582692,5657694.03622818
2686,HofmRJ2000,LS_2907,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",233,309,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13751787.5705213,5657809.73085722
2687,HofmRJ2000,LS_2908,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",234,300,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13752522.7528347,5660579.54225852
2688,HofmRJ2000,LS_2909,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",235,270,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13752714.252499,5669700.55102486
2689,HofmRJ2000,LS_2910,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",236,365,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13752337.6855576,5612100.11094118
2690,HofmRJ2000,LS_2911,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",237,283,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13752719.5384457,5666174.11399167
2691,HofmRJ2000,LS_2912,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",238,282,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13752877.4517861,5665954.87091461
2692,HofmRJ2000,LS_2913,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",239,281,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13752942.3174611,5665896.18127804
2693,HofmRJ2000,LS_2914,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",240,260,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753085.1524705,5672025.37237111
2694,HofmRJ2000,LS_2915,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",241,318,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753245.548237,5653958.67989946
2695,HofmRJ2000,LS_2916,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",242,284,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753403.5198137,5666598.26594411
2696,HofmRJ2000,LS_2917,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",243,302,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753394.9367667,5662142.90469729
2697,HofmRJ2000,LS_2918,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",244,18,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13752643.3045227,5534948.17512877
2698,HofmRJ2000,LS_2919,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",245,277,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753602.7438373,5668210.89332487
2699,HofmRJ2000,LS_2920,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",246,263,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753712.505531,5672610.30209411
2700,HofmRJ2000,LS_2921,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",247,261,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13753973.472718,5671553.80357242
2701,HofmRJ2000,LS_2922,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",248,262,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754011.3876554,5671778.98462369
2702,HofmRJ2000,LS_2923,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",249,306,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754000.9037483,5659683.27183474
2703,HofmRJ2000,LS_2924,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",250,285,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754060.6441025,5665241.79709613
2704,HofmRJ2000,LS_2925,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",251,271,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13754137.9679492,5671210.86171238
2705,HofmRJ2000,LS_2926,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",252,362,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754025.8814565,5618884.10815124
2706,HofmRJ2000,LS_2927,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",253,264,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754487.7007274,5672510.42465561
2707,HofmRJ2000,LS_2928,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",254,272,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754609.5616671,5670232.88975261
2708,HofmRJ2000,LS_2929,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",255,273,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13754613.6884814,5669774.65456392
2709,HofmRJ2000,LS_2930,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",256,286,0,0,0,0,,,,,0,0,,,,,0,0,1996,,,02,,-13754602.9524653,5665077.9909013
2710,HofmRJ2000,LS_2931,Bureau of Land Management-Salem District,"Digitized from BLM Township, Range, Section, Maps",257,287,0,0,0,0,,,,,0,0,,,,Ground Based Evaluation,0,0,1996,,,02,,-13755108.7579835,5664892.80369624
